Trial,OCR Engine Mode,Path,Runtime (ms)
1,1,share/tessdata_best/,16366
2,1,share/tessdata_best/,17434
3,1,share/tessdata_best/,16127
4,1,share/tessdata_best/,16199
5,1,share/tessdata_best/,16307
6,1,share/tessdata_best/,16463
7,1,share/tessdata_best/,16825
8,1,share/tessdata_best/,16680
9,1,share/tessdata_best/,16767
10,1,share/tessdata_best/,16237
11,0,share/tessdata/,3035
12,0,share/tessdata/,3066
13,0,share/tessdata/,3087
14,0,share/tessdata/,3035
15,0,share/tessdata/,3079
16,0,share/tessdata/,3043
17,0,share/tessdata/,3101
18,0,share/tessdata/,3055
19,0,share/tessdata/,3022
20,0,share/tessdata/,3034
21,0,share/tessdata/,3071
22,0,share/tessdata/,3092
23,0,share/tessdata/,3515
24,1,share/tessdata_fast/,14730
25,1,share/tessdata_fast/,14620
26,1,share/tessdata_fast/,14717
27,1,share/tessdata_fast/,14699
28,1,share/tessdata_fast/,14779
29,1,share/tessdata_fast/,14751
30,1,share/tessdata_fast/,14888
31,3,share/tessdata/,16121
32,3,share/tessdata/,16070
33,3,share/tessdata/,16042
34,3,share/tessdata/,16273
35,3,share/tessdata/,16334
36,2,share/tessdata/,16282
37,2,share/tessdata/,16508
38,2,share/tessdata/,16322
